id,kind,opportunity,text
raise_bid_floor_3,experiment_review,raise_bid_floor,低质广告泛滥：低价低质广告太多，建议提高竞价门槛（渠道：experiment_review，编号 7443）
lower_bid_floor_4,industry_news,lower_bid_floor,行业动态：小广告主门槛太高：出价门槛把中小商家挡在门外了，建议降低竞价门槛（渠道：industry_news，编号 2029）
auction_rule_5,user_complaint,auction_rule,竞价规则不透明：一价机制导致恶意抬价，建议评估二价机制（渠道：user_complaint，编号 1586）
raise_bid_floor_1,advertiser_ticket,raise_bid_floor,低质广告泛滥：低价低质广告太多，建议提高竞价门槛（渠道：advertiser_ticket，编号 7997）
lower_bid_floor_5,user_complaint,lower_bid_floor,小广告主门槛太高：出价门槛把中小商家挡在门外了，建议降低竞价门槛（渠道：user_complaint，编号 6427）
lower_bid_floor_3,experiment_review,lower_bid_floor,小广告主门槛太高：出价门槛把中小商家挡在门外了，建议降低竞价门槛（渠道：experiment_review，编号 3581）
auction_rule_0,user_complaint,auction_rule,竞价规则不透明：一价机制导致恶意抬价，建议评估二价机制（渠道：user_complaint，编号 8177）
auction_rule_1,advertiser_ticket,auction_rule,竞价规则不透明：一价机制导致恶意抬价，建议评估二价机制（渠道：advertiser_ticket，编号 4934）
raise_bid_floor_5,user_complaint,raise_bid_floor,低质广告泛滥：低价低质广告太多，建议提高竞价门槛（渠道：user_complaint，编号 9237）
raise_bid_floor_0,user_complaint,raise_bid_floor,低质广告泛滥：低价低质广告太多，建议提高竞价门槛（渠道：user_complaint，编号 7007）
lower_bid_floor_2,audit_record,lower_bid_floor,小广告主门槛太高：出价门槛把中小商家挡在门外了，建议降低竞价门槛（渠道：audit_record，编号 9648）
ad_load_cap_3,experiment_review,ad_load_cap,广告太多扰民：一条信息流里广告太多，用户负反馈激增（渠道：experiment_review，编号 9263）
ad_load_cap_0,user_complaint,ad_load_cap,广告太多扰民：一条信息流里广告太多，用户负反馈激增（渠道：user_complaint，编号 9338）
ad_load_cap_4,industry_news,ad_load_cap,行业动态：广告太多扰民：一条信息流里广告太多，用户负反馈激增（渠道：industry_news，编号 1117）
ad_load_cap_1,advertiser_ticket,ad_load_cap,广告太多扰民：一条信息流里广告太多，用户负反馈激增（渠道：advertiser_ticket，编号 8742）
budget_cap_multiplier_5,user_complaint,budget_cap_multiplier,大客户预算受限：大客户想加预算但受限，建议放宽预算上限（渠道：user_complaint，编号 9848）
raise_bid_floor_4,industry_news,raise_bid_floor,行业动态：低质广告泛滥：低价低质广告太多，建议提高竞价门槛（渠道：industry_news，编号 9236）
ad_load_cap_2,audit_record,ad_load_cap,广告太多扰民：一条信息流里广告太多，用户负反馈激增（渠道：audit_record，编号 7488）
lower_bid_floor_0,user_complaint,lower_bid_floor,小广告主门槛太高：出价门槛把中小商家挡在门外了，建议降低竞价门槛（渠道：user_complaint，编号 4793）
budget_cap_multiplier_2,audit_record,budget_cap_multiplier,大客户预算受限：大客户想加预算但受限，建议放宽预算上限（渠道：audit_record，编号 2332）
ad_load_cap_5,user_complaint,ad_load_cap,广告太多扰民：一条信息流里广告太多，用户负反馈激增（渠道：user_complaint，编号 1239）
raise_bid_floor_2,audit_record,raise_bid_floor,低质广告泛滥：低价低质广告太多，建议提高竞价门槛（渠道：audit_record，编号 6782）
auction_rule_2,audit_record,auction_rule,竞价规则不透明：一价机制导致恶意抬价，建议评估二价机制（渠道：audit_record，编号 7732）
budget_cap_multiplier_1,advertiser_ticket,budget_cap_multiplier,大客户预算受限：大客户想加预算但受限，建议放宽预算上限（渠道：advertiser_ticket，编号 1050）
lower_bid_floor_1,advertiser_ticket,lower_bid_floor,小广告主门槛太高：出价门槛把中小商家挡在门外了，建议降低竞价门槛（渠道：advertiser_ticket，编号 8831）
budget_cap_multiplier_3,experiment_review,budget_cap_multiplier,大客户预算受限：大客户想加预算但受限，建议放宽预算上限（渠道：experiment_review，编号 8474）
budget_cap_multiplier_0,user_complaint,budget_cap_multiplier,大客户预算受限：大客户想加预算但受限，建议放宽预算上限（渠道：user_complaint，编号 7062）
auction_rule_4,industry_news,auction_rule,行业动态：竞价规则不透明：一价机制导致恶意抬价，建议评估二价机制（渠道：industry_news，编号 9114）
auction_rule_3,experiment_review,auction_rule,竞价规则不透明：一价机制导致恶意抬价，建议评估二价机制（渠道：experiment_review，编号 5364）
budget_cap_multiplier_4,industry_news,budget_cap_multiplier,行业动态：大客户预算受限：大客户想加预算但受限，建议放宽预算上限（渠道：industry_news，编号 3632）
