advertiser_id,pre_spend,pre_conversions,pre_ctr,budget,quality,category,tier_S,tier_L,y_click_next
0,565.0008351272432,81,0.01918386081336701,800.0,0.8615608235610684,0,0,0,1
1,9.024124325059693,1,0.06617795590504842,200.0,0.9242246010390648,1,1,0,0
2,131.1430827727664,15,0.059579715577344955,200.0,0.6130974355758251,2,1,0,1
3,54.00125864237991,5,0.022934644755810318,200.0,0.8398970401054794,3,1,0,0
4,59.89635411651375,9,0.07147125676079831,200.0,0.6619356942042648,4,1,0,1
5,74.14054533852537,12,0.05380492866159085,200.0,0.8405397793605671,5,1,0,1
6,14.614475114685959,2,0.0767890373379228,800.0,0.8226082023515553,6,0,0,0
7,73.05852703414945,14,0.057159452681747804,800.0,0.664162006602599,7,0,0,0
8,41.31841280950254,1,0.06811878340823993,200.0,0.8201726511807671,0,1,0,1
9,1791.3047877202,212,0.05673688965467518,800.0,0.9379860135920237,1,0,0,1
10,110.30044402961148,10,0.031247066125373136,200.0,0.8592302760236342,2,1,0,1
11,65.53814143136,14,0.04564219148678466,800.0,0.870072368870974,3,0,0,1
12,69.88432140086013,4,0.03673962304018798,200.0,0.6962723832983244,4,1,0,1
13,49.34114358620486,8,0.06690504628771675,800.0,0.7182993476857249,5,0,0,1
14,34.826009391117736,7,0.030364708969851873,200.0,0.6665910469657262,6,1,0,0
15,63.32493190039948,5,0.019611343779629403,800.0,0.8154547633592825,7,0,0,0
16,138.89952772633077,8,0.06393621165660582,800.0,0.9419230640557624,0,0,0,1
17,72.62445814049778,8,0.07321862535237467,800.0,0.8518211630824107,1,0,0,1
18,213.1471628756969,30,0.079198182716479,2500.0,0.7995890231090935,2,0,1,1
19,75.20201936401092,9,0.07213598987869506,200.0,0.6660107892573313,3,1,0,1
20,92.00414299311804,9,0.020110098691030476,2500.0,0.8530082318822755,4,0,1,1
21,361.8532583940944,48,0.03632476490843099,800.0,0.7714703573201562,5,0,0,1
22,147.02387233328687,15,0.0392898974812382,200.0,0.5722830221495807,6,1,0,0
23,57.12798707196789,8,0.049799543731440334,200.0,0.5933853642994302,7,1,0,1
24,76.35892516454767,10,0.00716057219541182,200.0,0.759468787073443,0,1,0,1
25,146.4190357338872,20,0.050049336524918726,200.0,0.6931152327914876,1,1,0,1
26,513.669072705954,84,0.05577601881448371,800.0,0.9975233500747949,2,0,0,1
27,70.62199962598517,10,0.031219279563931963,800.0,0.8043093181852602,3,0,0,0
28,72.29805223995024,6,0.05259263681810979,800.0,0.6760959520561448,4,0,0,1
29,221.86791806680426,32,0.07406085705215583,2500.0,0.7418643332142656,5,0,1,1
30,40.53582095214823,8,0.05115081941939227,800.0,0.9905645499695176,6,0,0,0
31,69.23121126658148,8,0.07136779843388402,800.0,0.6869672846397873,7,0,0,0
32,199.19516459030797,21,0.07050871567471839,2500.0,0.8923466913547394,0,0,1,1
33,151.7622292106732,14,0.05843296680134581,800.0,0.8526639902380863,1,0,0,1
34,97.74529189555072,15,0.057898658015116136,200.0,0.9758315382767008,2,1,0,0
35,164.53016369872324,27,0.04279051330611443,200.0,0.8638264016366939,3,1,0,0
36,7.061474792704704,0,0.07504893506492978,200.0,0.7523338213198765,4,1,0,0
37,225.69310540513834,28,0.04080513813133303,800.0,0.8634311891444726,5,0,0,1
38,37.95190560580478,6,0.03627901371642904,200.0,0.8084379431287312,6,1,0,0
39,20.050260408224904,0,0.06434646461212076,2500.0,0.9169158420311869,7,0,1,1
40,115.44580321114304,6,0.035704905730312486,200.0,0.7931832712240227,0,1,0,1
41,169.10002382786863,25,0.05874726607063511,200.0,1.0,1,1,0,1
42,60.32274861494854,4,0.07137250766688066,200.0,0.7886118201962573,2,1,0,1
43,34.16612799920943,6,0.05184712020532266,2500.0,0.8533636860936622,3,0,1,1
44,92.15872389079284,12,0.05235032456743152,800.0,0.722474485652135,4,0,0,1
45,85.84363319127515,11,0.06861442456884084,2500.0,0.8160489095217678,5,0,1,1
46,318.95127539694727,41,0.0653257303884789,200.0,0.8043495793219495,6,1,0,1
47,176.38466183287255,32,0.019451145968815236,200.0,0.8215015398430312,7,1,0,1
48,107.1718993814445,12,0.024046923112699542,2500.0,0.9088476616880965,0,0,1,1
49,244.80693627699162,28,0.07689868503470897,800.0,0.7371216120704227,1,0,0,1
50,74.81581215485534,8,0.05808248358851777,200.0,0.7002178153748418,2,1,0,1
51,39.12221185059704,2,0.008655914776665831,200.0,0.9338112963623038,3,1,0,0
52,152.26957654839015,19,0.023316587826961836,200.0,0.7673020756446925,4,1,0,1
53,152.06142891298737,20,0.05080188720279061,800.0,0.7215867560875154,5,0,0,1
54,74.19182582237076,4,0.030707634298945886,800.0,0.939382983735653,6,0,0,0
55,44.4992475407423,6,0.05970445126157106,2500.0,0.894500481581696,7,0,1,1
56,110.63522347950064,15,0.05190363031879859,800.0,0.48581601816977016,0,0,0,1
57,9.54001587388264,1,0.060157572137641065,200.0,0.7565765286974252,1,1,0,0
58,167.52159915762425,25,0.02698712983235175,200.0,0.8955565623380963,2,1,0,1
59,140.08248597879972,16,0.06278668629183418,800.0,0.9015118044109671,3,0,0,1
60,20.59459310058323,1,0.0895665760077237,200.0,0.7406551124674007,4,1,0,1
61,95.12750587972765,14,0.03448271638707595,2500.0,0.9887394204671377,5,0,1,1
62,37.80004536710874,6,0.0766764626317106,200.0,0.7074564705813711,6,1,0,0
63,177.9493466268349,21,0.07004235004013554,200.0,0.7745579694904295,7,1,0,0
64,14.429135396394704,1,0.06329980297769516,2500.0,0.8175506820882424,0,0,1,0
65,39.52585108949953,2,0.04910841772014009,200.0,0.8016968409569357,1,1,0,0
66,170.48068212210472,20,0.02718858069049004,200.0,0.8986874410180095,2,1,0,0
67,254.87186880194912,32,0.03287659439570063,200.0,0.9243494615544687,3,1,0,1
68,12.907327300286434,2,0.0657225418070577,2500.0,0.7972270713950104,4,0,1,1
69,57.49880354787799,6,0.0700321386962368,200.0,0.969552518137502,5,1,0,1
70,120.93075188354042,11,0.07491312869824586,200.0,0.7208823509715931,6,1,0,0
71,52.02401692227924,4,0.06967034899464264,800.0,0.7772669902165992,7,0,0,1
72,376.74787916125115,47,0.06853010641212186,2500.0,1.0,0,0,1,1
73,30.8117461734311,2,0.041774779046216216,200.0,0.8145551933108167,1,1,0,1
74,123.85094073384961,26,0.026311826748416742,200.0,0.9304468753526777,2,1,0,1
75,35.03806469759744,4,0.05455520711999506,800.0,0.7516559100953646,3,0,0,0
76,319.05600410116534,28,0.060481298953755376,2500.0,0.7715170095994043,4,0,1,1
77,88.28002758410219,15,0.05219405378577994,200.0,0.7906174841116156,5,1,0,1
78,64.39103996158798,14,0.02007182503278633,800.0,0.8238190749461829,6,0,0,1
79,19.175502352987248,1,0.04007511062832063,200.0,0.7630331134890607,7,1,0,0
80,408.97048538252034,41,0.02093921661152526,200.0,0.805497052386137,0,1,0,1
81,177.2392887543859,28,0.053399709684601664,200.0,0.883512681592849,1,1,0,1
82,177.3645916349925,25,0.029482959674401173,200.0,0.9475516507252355,2,1,0,0
83,250.6589206209169,31,0.04715047137805135,200.0,0.8167042783075038,3,1,0,1
84,123.26098297488679,10,0.05694526766272511,200.0,0.8812130335780015,4,1,0,1
85,50.636772949584795,7,0.05324209604381852,200.0,0.912687668178036,5,1,0,1
86,43.806530115861406,4,0.0778721883306216,200.0,0.6753270815589114,6,1,0,0
87,43.80815637157954,4,0.028405517113617235,800.0,0.6160979320095763,7,0,0,1
88,308.9146753460862,32,0.006838766666335349,200.0,0.996893011938675,0,1,0,1
89,24.183169570691515,7,0.06941787473018712,200.0,0.9614642188587921,1,1,0,0
90,52.629007409697046,4,0.07857048372141504,200.0,0.8108411546515574,2,1,0,0
91,67.41587151684706,3,0.07917570587535043,200.0,0.8459277526047987,3,1,0,0
92,110.18459799213426,13,0.05623699751826291,800.0,0.6915502611839053,4,0,0,1
93,151.0807481217258,19,0.06133581726746447,200.0,0.6388754520432085,5,1,0,1
94,29.24804377090113,2,0.05301308450525075,2500.0,0.8417107743203942,6,0,1,1
95,18.97244937306687,2,0.024666773976055153,200.0,0.6265571832216013,7,1,0,1
96,89.66021983878336,13,0.03915283078730186,200.0,0.9130051600042888,0,1,0,0
97,268.327283560083,30,0.06051455351956169,200.0,0.7227416908166716,1,1,0,1
98,177.92324570044855,22,0.039044530703770654,800.0,0.8386053505924895,2,0,0,1
99,109.29883160536365,7,0.08874481974280106,200.0,1.0,3,1,0,0
100,67.66438160264109,6,0.01978039234587101,200.0,1.0,4,1,0,1
101,117.20333427928672,13,0.04192425933958961,200.0,0.7713605711978047,5,1,0,1
102,72.31260253038614,7,0.0728106112864967,200.0,0.931255031581322,6,1,0,0
103,187.82035029718583,18,0.03845448517043447,200.0,0.6806634987466511,7,1,0,1
