advertiser_id,event_type,magnitude,day,text
0,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
1,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
1,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
1,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
2,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
2,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
3,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
4,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
4,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
4,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
5,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
5,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
6,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
7,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
8,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
8,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
8,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
9,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
9,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
10,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
10,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
11,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
11,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
12,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
12,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
13,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
13,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
14,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
14,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
15,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
15,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
16,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
17,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
17,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
17,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
