advertiser_id,creative_index,text
0,0,美妆000美妆个护 成分安全，学生专享，促销调性，复购导向，价格优惠，立即行动
0,1,美妆000美妆个护 价格优惠，白领专享，情感调性，复购导向，限量，立即行动
1,0,3C0013C数码 新品首发，年轻人专享，专业调性，拉新导向，价格优惠，立即行动
1,1,3C0013C数码 新品首发，白领专享，专业调性，到店导向，限量，立即行动
2,0,服饰002服饰鞋包 潮流新款，年轻人专享，潮流调性，转化导向，免费，立即行动
2,1,服饰002服饰鞋包 换季折扣，学生专享，促销调性，到店导向，免费，立即行动
3,0,食品003食品饮料 产地直供，家庭专享，促销调性，复购导向，限量，立即行动
3,1,食品003食品饮料 产地直供，家庭专享，促销调性，复购导向，免费，立即行动
4,0,本地004本地生活 商圈热销，本地专享，亲切调性，转化导向，限量，立即行动
4,1,本地004本地生活 商圈热销，白领专享，亲切调性，品牌导向，免费，立即行动
5,0,游戏005游戏娱乐 限时皮肤，男性专享，紧迫调性，复购导向，免费，立即行动
5,1,游戏005游戏娱乐 新服开测，男性专享，幽默调性，转化导向，免费，立即行动
6,0,金融006金融信贷 新人礼，白领专享，权威调性，拉新导向，限量，立即行动
6,1,金融006金融信贷 额度高，年轻人专享，权威调性，转化导向，免费，立即行动
7,0,教育007教育培训 小班教学，白领专享，亲切调性，品牌导向，免费，立即行动
7,1,教育007教育培训 名师授课，白领专享，亲切调性，到店导向，价格优惠，立即行动
8,0,美妆008美妆个护 成分安全，女性专享，促销调性，到店导向，折扣，立即行动
8,1,美妆008美妆个护 限量礼盒，白领专享，情感调性，品牌导向，折扣，立即行动
9,0,3C0093C数码 性能强悍，年轻人专享，潮流调性，拉新导向，免费，立即行动
9,1,3C0093C数码 性价比，白领专享，潮流调性，品牌导向，价格优惠，立即行动
10,0,服饰010服饰鞋包 限时优惠，女性专享，促销调性，品牌导向，限量，立即行动
10,1,服饰010服饰鞋包 换季折扣，女性专享，潮流调性，转化导向，折扣，立即行动
11,0,食品011食品饮料 健康低脂，女性专享，亲切调性，转化导向，价格优惠，立即行动
11,1,食品011食品饮料 礼盒装，女性专享，亲切调性，品牌导向，限量，立即行动
12,0,本地012本地生活 商圈热销，本地专享，亲切调性，品牌导向，限量，立即行动
12,1,本地012本地生活 团购低价，本地专享，促销调性，拉新导向，限量，立即行动
13,0,游戏013游戏娱乐 新服开测，游戏专享，幽默调性，复购导向，折扣，立即行动
13,1,游戏013游戏娱乐 免费下载，男性专享，幽默调性，到店导向，价格优惠，立即行动
14,0,金融014金融信贷 专业合规，白领专享，权威调性，品牌导向，限量，立即行动
14,1,金融014金融信贷 额度高，男性专享，权威调性，转化导向，价格优惠，立即行动
15,0,教育015教育培训 名师授课，宝妈专享，专业调性，拉新导向，价格优惠，立即行动
15,1,教育015教育培训 小班教学，宝妈专享，亲切调性，品牌导向，折扣，立即行动
16,0,美妆016美妆个护 限量礼盒，女性专享，情感调性，转化导向，折扣，立即行动
16,1,美妆016美妆个护 新品上市，学生专享，情感调性，转化导向，价格优惠，立即行动
17,0,3C0173C数码 性价比，男性专享，专业调性，复购导向，限量，立即行动
17,1,3C0173C数码 性能强悍，男性专享，潮流调性，到店导向，免费，立即行动
18,0,服饰018服饰鞋包 会员专享，女性专享，潮流调性，品牌导向，免费，立即行动
18,1,服饰018服饰鞋包 限时优惠，女性专享，促销调性，品牌导向，折扣，立即行动
19,0,食品019食品饮料 第二件半价，年轻人专享，亲切调性，品牌导向，价格优惠，立即行动
19,1,食品019食品饮料 礼盒装，年轻人专享，促销调性，品牌导向，折扣，立即行动
20,0,本地020本地生活 商圈热销，家庭专享，亲切调性，到店导向，限量，立即行动
20,1,本地020本地生活 免费体验，本地专享，促销调性，转化导向，折扣，立即行动
21,0,游戏021游戏娱乐 限时皮肤，游戏专享，幽默调性，转化导向，限量，立即行动
21,1,游戏021游戏娱乐 免费下载，男性专享，幽默调性，拉新导向，价格优惠，立即行动
22,0,金融022金融信贷 额度高，白领专享，权威调性，转化导向，免费，立即行动
22,1,金融022金融信贷 低息快批，白领专享，专业调性，到店导向，价格优惠，立即行动
23,0,教育023教育培训 考纲精准，学生专享，专业调性，转化导向，限量，立即行动
23,1,教育023教育培训 名师授课，学生专享，专业调性，复购导向，免费，立即行动
24,0,美妆024美妆个护 成分安全，学生专享，情感调性，转化导向，限量，立即行动
24,1,美妆024美妆个护 限量礼盒，学生专享，情感调性，拉新导向，限量，立即行动
25,0,3C0253C数码 以旧换新，白领专享，潮流调性，品牌导向，限量，立即行动
25,1,3C0253C数码 性价比，白领专享，潮流调性，拉新导向，折扣，立即行动
26,0,服饰026服饰鞋包 潮流新款，年轻人专享，潮流调性，复购导向，价格优惠，立即行动
26,1,服饰026服饰鞋包 潮流新款，学生专享，促销调性，复购导向，限量，立即行动
27,0,食品027食品饮料 礼盒装，女性专享，亲切调性，拉新导向，价格优惠，立即行动
27,1,食品027食品饮料 健康低脂，家庭专享，亲切调性，品牌导向，免费，立即行动
28,0,本地028本地生活 免费体验，本地专享，亲切调性，到店导向，价格优惠，立即行动
28,1,本地028本地生活 商圈热销，家庭专享，亲切调性，品牌导向，限量，立即行动
29,0,游戏029游戏娱乐 免费下载，男性专享，紧迫调性，品牌导向，折扣，立即行动
29,1,游戏029游戏娱乐 首充返利，游戏专享，幽默调性，复购导向，限量，立即行动
30,0,金融030金融信贷 额度高，年轻人专享，权威调性，品牌导向，限量，立即行动
30,1,金融030金融信贷 新人礼，白领专享，权威调性，复购导向，折扣，立即行动
31,0,教育031教育培训 名师授课，白领专享，亲切调性，品牌导向，免费，立即行动
31,1,教育031教育培训 免费试听，学生专享，亲切调性，转化导向，免费，立即行动
32,0,美妆032美妆个护 成分安全，女性专享，促销调性，到店导向，限量，立即行动
32,1,美妆032美妆个护 新品上市，女性专享，促销调性，品牌导向，免费，立即行动
33,0,3C0333C数码 性能强悍，男性专享，潮流调性，到店导向，免费，立即行动
33,1,3C0333C数码 以旧换新，年轻人专享，专业调性，拉新导向，限量，立即行动
34,0,服饰034服饰鞋包 会员专享，女性专享，潮流调性，拉新导向，折扣，立即行动
34,1,服饰034服饰鞋包 换季折扣，学生专享，促销调性，到店导向，价格优惠，立即行动
35,0,食品035食品饮料 礼盒装，家庭专享，亲切调性，到店导向，价格优惠，立即行动
35,1,食品035食品饮料 第二件半价，年轻人专享，促销调性，到店导向，限量，立即行动
36,0,本地036本地生活 团购低价，本地专享，亲切调性，复购导向，价格优惠，立即行动
36,1,本地036本地生活 到店优惠，本地专享，促销调性，转化导向，免费，立即行动
37,0,游戏037游戏娱乐 首充返利，年轻人专享，紧迫调性，转化导向，限量，立即行动
37,1,游戏037游戏娱乐 免费下载，男性专享，幽默调性，品牌导向，折扣，立即行动
38,0,金融038金融信贷 专业合规，男性专享，专业调性，复购导向，折扣，立即行动
38,1,金融038金融信贷 新人礼，白领专享，专业调性，品牌导向，免费，立即行动
39,0,教育039教育培训 小班教学，宝妈专享，专业调性，复购导向，限量，立即行动
39,1,教育039教育培训 免费试听，学生专享，专业调性，到店导向，价格优惠，立即行动
40,0,美妆040美妆个护 成分安全，白领专享，情感调性，复购导向，免费，立即行动
40,1,美妆040美妆个护 新品上市，白领专享，情感调性，复购导向，折扣，立即行动
41,0,3C0413C数码 新品首发，白领专享，专业调性，到店导向，限量，立即行动
41,1,3C0413C数码 新品首发，白领专享，潮流调性，拉新导向，限量，立即行动
42,0,服饰042服饰鞋包 换季折扣，女性专享，促销调性，拉新导向，折扣，立即行动
42,1,服饰042服饰鞋包 换季折扣，学生专享，潮流调性，转化导向，免费，立即行动
43,0,食品043食品饮料 健康低脂，女性专享，促销调性，到店导向，价格优惠，立即行动
43,1,食品043食品饮料 礼盒装，女性专享，促销调性，品牌导向，折扣，立即行动
44,0,本地044本地生活 团购低价，本地专享，亲切调性，转化导向，折扣，立即行动
44,1,本地044本地生活 商圈热销，白领专享，亲切调性，到店导向，免费，立即行动
45,0,游戏045游戏娱乐 免费下载，男性专享，紧迫调性，品牌导向，限量，立即行动
45,1,游戏045游戏娱乐 免费下载，年轻人专享，紧迫调性，拉新导向，限量，立即行动
46,0,金融046金融信贷 额度高，白领专享，权威调性，到店导向，限量，立即行动
46,1,金融046金融信贷 专业合规，年轻人专享，权威调性，品牌导向，免费，立即行动
